iter	Passed	Remaining
1140	52722	39691
1141	52770	39647
1142	52824	39607
1143	52875	39563
1144	52917	39514
1145	52966	39470
1146	53008	39421
1147	53051	39372
1148	53093	39323
1149	53141	39278
1150	53188	39232
1151	53236	39188
1152	53282	39141
1153	53334	39099
1154	53384	39056
1155	53430	39009
1156	53473	38961
1157	53522	38917
1158	53575	38875
1159	53619	38828
1160	53663	38780
1161	53706	38731
1162	53751	38684
1163	53793	38635
1164	53841	38590
1165	53883	38540
1166	53925	38491
1167	53970	38445
1168	54013	38396
1169	54055	38347
1170	54098	38298
1171	54141	38250
1172	54192	38207
1173	54234	38157
1174	54275	38108
1175	54316	38058
1176	54365	38014
1177	54408	37965
1178	54448	37915
1179	54496	37870
1180	54544	37825
1181	54591	37780
1182	54640	37735
1183	54683	37687
1184	54731	37642
1185	54778	37596
1186	54824	37550
1187	54867	37502
1188	54912	37455
1189	54954	37405
1190	54998	37358
1191	55042	37310
1192	55093	37267
1193	55134	37218
1194	55178	37170
1195	55221	37121
1196	55261	37071
1197	55303	37022
1198	55346	36974
1199	55393	36929
1200	55443	36885
1201	55493	36841
1202	55540	36795
1203	55582	36746
1204	55628	36700
1205	55672	36653
1206	55716	36605
1207	55759	36557
1208	55806	36511
1209	55846	36461
1210	55889	36413
1211	55936	36367
1212	55989	36326
1213	56032	36278
1214	56073	36228
1215	56119	36182
1216	56164	36135
1217	56211	36089
1218	56262	36046
1219	56306	35999
1220	56352	35952
1221	56398	35906
1222	56443	35859
1223	56486	35811
1224	56534	35766
1225	56577	35718
1226	56629	35676
1227	56676	35630
1228	56719	35582
1229	56770	35539
1230	56813	35490
1231	56855	35442
1232	56899	35395
1233	56947	35349
1234	56993	35303
1235	57039	35257
1236	57083	35209
1237	57126	35161
1238	57174	35117
1239	57222	35071
1240	57266	35024
1241	57309	34976
1242	57352	34928
1243	57399	34882
1244	57451	34840
1245	57495	34792
1246	57546	34749
1247	57589	34701
1248	57634	34654
1249	57680	34608
1250	57722	34559
1251	57768	34513
1252	57814	34467
1253	57854	34417
1254	57901	34371
1255	57945	34324
1256	57987	34275
1257	58031	34228
1258	58070	34178
1259	58121	34134
1260	58165	34087
1261	58206	34038
1262	58256	33994
1263	58300	33947
1264	58346	33900
1265	58393	33855
1266	58434	33806
1267	58484	33762
1268	58534	33718
1269	58586	33675
1270	58636	33631
1271	58684	33586
1272	58727	33538
1273	58769	33490
1274	58816	33444
1275	58862	33398
1276	58903	33349
1277	58948	33302
1278	58989	33253
1279	59039	33209
1280	59088	33165
1281	59130	33116
1282	59174	33069
1283	59220	33023
1284	59265	32976
1285	59308	32928
1286	59356	32883
1287	59398	32835
1288	59445	32789
1289	59489	32742
1290	59531	32693
1291	59576	32646
1292	59626	32602
1293	59672	32557
1294	59719	32511
1295	59765	32465
1296	59810	32418
1297	59854	32371
1298	59902	32326
1299	59943	32277
1300	59985	32229
1301	60030	32182
1302	60072	32133
1303	60125	32091
1304	60167	32043
1305	60213	31997
1306	60259	31951
1307	60303	31903
1308	60349	31857
1309	60400	31814
1310	60446	31767
1311	60488	31719
1312	60530	31671
1313	60576	31625
1314	60619	31577
1315	60661	31529
1316	60704	31481
1317	60750	31435
1318	60794	31388
1319	60840	31342
1320	60883	31294
1321	60929	31248
1322	60977	31203
1323	61027	31158
1324	61075	31113
1325	61116	31065
1326	61161	31018
1327	61205	30971
1328	61248	30923
1329	61296	30878
1330	61342	30832
1331	61406	30795
1332	61457	30751
1333	61497	30702
1334	61543	30656
1335	61593	30612
1336	61639	30566
1337	61685	30520
1338	61735	30475
1339	61779	30428
1340	61827	30383
1341	61869	30335
1342	61916	30289
1343	61960	30242
1344	62002	30194
1345	62044	30146
1346	62087	30098
1347	62133	30052
1348	62182	30007
1349	62224	29960
1350	62270	29913
1351	62320	29869
1352	62366	29823
1353	62411	29776
1354	62453	29728
1355	62496	29681
1356	62541	29634
1357	62595	29592
1358	62647	29548
1359	62693	29502
1360	62737	29455
1361	62784	29410
1362	62835	29366
1363	62881	29319
1364	62923	29271
1365	62963	29223
1366	63013	29179
1367	63054	29130
1368	63094	29081
1369	63135	29033
1370	63178	28985
1371	63221	28938
1372	63262	28889
1373	63305	28842
1374	63348	28794
1375	63391	28747
1376	63437	28701
1377	63482	28654
1378	63535	28611
1379	63583	28566
1380	63626	28519
1381	63673	28473
1382	63718	28426
1383	63767	28381
1384	63808	28333
1385	63858	28289
1386	63902	28242
1387	63945	28195
1388	63995	28150
1389	64041	28104
1390	64091	28060
1391	64134	28012
1392	64179	27966
1393	64226	27920
1394	64272	27874
1395	64316	27827
1396	64358	27779
1397	64407	27734
1398	64455	27689
1399	64498	27642
1400	64542	27595
1401	64590	27549
1402	64637	27504
1403	64686	27459
1404	64728	27411
1405	64772	27364
1406	64824	27321
1407	64873	27276
1408	64919	27230
1409	64963	27183
1410	65006	27135
1411	65052	27089
1412	65096	27042
1413	65144	26997
1414	65191	26952
1415	65238	26906
1416	65282	26859
1417	65323	26811
1418	65370	26765
1419	65416	26719
1420	65458	26671
1421	65506	26626
1422	65551	26580
1423	65595	26533
1424	65638	26485
1425	65684	26439
1426	65735	26395
1427	65779	26348
1428	65825	26302
1429	65867	26254
1430	65915	26209
1431	65958	26162
1432	66008	26117
1433	66050	26070
1434	66097	26024
1435	66143	25978
1436	66188	25931
1437	66230	25884
1438	66276	25838
1439	66328	25794
1440	66374	25748
1441	66418	25701
1442	66461	25654
1443	66504	25607
1444	66549	25560
1445	66598	25515
1446	66642	25468
1447	66687	25422
1448	66740	25378
1449	66782	25331
1450	66834	25287
1451	66876	25239
1452	66916	25191
1453	66963	25145
1454	67005	25098
1455	67054	25053
1456	67104	25008
1457	67148	24962
1458	67194	24915
1459	67237	24868
1460	67279	24821
1461	67322	24773
1462	67362	24725
1463	67410	24680
1464	67457	24634
1465	67502	24588
1466	67551	24543
1467	67591	24495
1468	67644	24451
1469	67692	24406
1470	67739	24360
1471	67784	24313
1472	67835	24269
1473	67886	24225
1474	67930	24178
1475	67980	24133
1476	68020	24085
1477	68069	24040
1478	68117	23995
1479	68166	23950
1480	68211	23903
1481	68257	23858
1482	68300	23810
1483	68342	23763
1484	68384	23715
1485	68429	23669
1486	68473	23622
1487	68516	23575
1488	68559	23528
1489	68602	23481
1490	68652	23436
1491	68703	23392
1492	68753	23347
1493	68800	23301
1494	68842	23254
1495	68884	23207
1496	68930	23161
1497	68978	23115
1498	69028	23070
1499	69074	23024
1500	69124	22980
1501	69175	22935
1502	69221	22889
1503	69263	22842
1504	69308	22795
1505	69353	22749
1506	69395	22702
1507	69439	22655
1508	69482	22608
1509	69530	22562
1510	69573	22515
1511	69621	22470
1512	69666	22424
1513	69714	22378
1514	69764	22333
1515	69811	22288
1516	69853	22240
1517	69897	22193
1518	69947	22149
1519	69991	22102
1520	70039	22057
1521	70089	22012
1522	70132	21965
1523	70175	21918
1524	70220	21872
1525	70269	21826
1526	70311	21779
1527	70355	21732
1528	70410	21689
1529	70452	21642
1530	70499	21596
1531	70548	21551
1532	70593	21505
1533	70642	21459
1534	70689	21414
1535	70736	21368
1536	70780	21321
1537	70829	21276
1538	70876	21230
1539	70919	21183
1540	70963	21136
1541	71003	21089
1542	71053	21044
1543	71094	20996
1544	71136	20949
1545	71180	20902
1546	71223	20856
1547	71265	20808
1548	71313	20763
1549	71361	20717
1550	71405	20671
1551	71448	20624
1552	71491	20577
1553	71533	20530
1554	71575	20483
1555	71621	20436
1556	71668	20391
1557	71710	20344
1558	71758	20298
1559	71802	20251
1560	71845	20205
1561	71887	20158
1562	71931	20111
1563	71982	20066
1564	72028	20020
1565	72070	19973
1566	72117	19927
1567	72168	19883
1568	72213	19836
1569	72259	19790
1570	72300	19743
1571	72343	19696
1572	72385	19649
1573	72433	19604
1574	72481	19558
1575	72526	19512
1576	72575	19467
1577	72617	19419
1578	72664	19374
1579	72705	19326
1580	72750	19280
1581	72794	19233
1582	72832	19185
1583	72875	19139
1584	72920	19092
1585	72964	19046
1586	73009	19000
1587	73052	18953
1588	73095	18906
1589	73138	18859
1590	73183	18813
1591	73231	18767
1592	73273	18720
1593	73319	18674
1594	73369	18629
1595	73412	18583
1596	73457	18536
1597	73506	18491
1598	73557	18446
1599	73607	18401
1600	73649	18354
1601	73691	18307
1602	73734	18261
1603	73778	18214
1604	73824	18168
1605	73875	18123
1606	73926	18079
1607	73973	18033
1608	74017	17986
1609	74061	17940
1610	74104	17893
1611	74149	17847
1612	74194	17801
1613	74245	17756
1614	74288	17709
1615	74330	17662
1616	74377	17616
1617	74420	17570
1618	74459	17522
1619	74503	17476
1620	74546	17429
1621	74596	17384
1622	74640	17338
1623	74690	17292
1624	74735	17246
1625	74782	17200
1626	74826	17154
1627	74874	17108
1628	74916	17061
1629	74959	17015
1630	75001	16968
1631	75045	16922
1632	75094	16876
1633	75140	16830
1634	75183	16784
1635	75225	16737
1636	75275	16692
1637	75319	16645
1638	75360	16598
1639	75402	16551
1640	75448	16505
1641	75492	16459
1642	75542	16414
1643	75585	16367
1644	75632	16321
1645	75675	16275
1646	75737	16232
1647	75784	16187
1648	75828	16140
1649	75874	16094
1650	75920	16048
1651	75966	16002
1652	76010	15956
1653	76052	15909
1654	76100	15863
1655	76142	15817
1656	76185	15770
1657	76228	15723
1658	76274	15677
1659	76322	15632
1660	76364	15585
1661	76408	15539
1662	76456	15493
